1	0.016	0.016	0.025	0.020	0.023	0.026	0.024	0.027
2	0.014	0.025	0.015	0.027	0.041	0.097	0.058	0.218
3	0.010	0.016	0.021	0.039	0.027	0.026	0.025	0.021
4	0.009	0.021	0.015	0.029	0.022	0.030	0.034	0.140
5	0.009	0.020	0.019	0.100	0.019	0.118	0.015	0.017
6	0.021	0.021	0.016	0.032	0.026	0.029	0.023	0.023
7	0.094	0.058	0.028	0.020	0.026	0.044	0.050	0.105
8	0.034	0.031	0.018	0.023	0.027	0.030	0.023	0.017
9	0.141	0.121	0.019	0.018	0.055	0.018	0.077	0.095
10	0.014	0.020	0.021	0.027	0.043	0.034	0.026	0.016
11	0.017	0.028	0.031	0.035	0.027	0.042	0.058	0.067
12	0.011	0.020	0.058	0.017	0.017	0.049	0.015	0.014
13	0.030	0.031	0.025	0.042	0.042	0.054	0.028	0.011
14	0.136	0.138	0.018	0.051	0.018	0.016	0.025	0.039
15	0.019	0.023	0.100	0.020	0.036	0.017	0.013	0.010
16	0.016	0.623	0.612	0.674	0.748	0.304	0.841	0.098
17	0.018	0.183	0.389	0.157	0.504	0.628	0.601	0.069
18	0.012	0.685	0.782	0.647	0.478	0.187	0.175	0.025
19	0.010	0.060	0.096	0.050	0.044	0.021	0.020	0.026
20	0.024	0.559	0.454	0.159	0.393	0.235	0.890	0.062
21	0.047	0.825	0.435	0.880	1.000	0.169	0.276	0.095
22	0.070	0.075	0.044	0.042	0.076	0.062	0.041	0.038
23	0.023	0.216	0.229	0.125	0.222	0.183	0.141	0.017
24	0.015	0.028	0.034	0.043	0.029	0.016	0.019	0.028
25	0.096	0.038	0.032	0.028	0.033	0.015	0.019	0.013
26	0.029	0.236	0.288	0.295	0.288	0.313	0.532	0.047
27	0.026	0.965	0.584	0.860	0.524	0.127	0.129	0.026
28	0.012	0.055	0.041	0.056	0.035	0.020	0.016	0.021
29	0.063	0.223	0.209	0.146	0.210	0.375	0.196	0.026
30	0.083	0.082	0.043	0.024	0.023	0.033	0.026	0.044
31	0.021	0.039	0.033	0.031	0.029	0.025	0.013	0.016
32	0.054	0.270	0.321	0.193	0.202	0.141	0.118	0.017
33	0.018	0.029	0.032	0.026	0.034	0.016	0.016	0.021
34	0.054	0.051	0.048	0.042	0.034	0.013	0.019	0.014
35	0.025	0.030	0.033	0.023	0.035	0.034	0.012	0.022
	
