1	1	0.002	2	0.002	3	0.003	4	0.002	5	0.003	6	0.003	7	0.003	8	0.003
2	1	0.002	2	0.003	3	0.002	4	0.003	5	0.005	6	0.012	7	0.007	8	0.027
3	1	0.001	2	0.002	3	0.002	4	0.005	5	0.003	6	0.003	7	0.003	8	0.003
4	1	0.001	2	0.002	3	0.002	4	0.004	5	0.003	6	0.004	7	0.004	8	0.017
5	1	0.001	2	0.002	3	0.002	4	0.012	5	0.002	6	0.014	7	0.002	8	0.002
6	1	0.003	2	0.002	3	0.002	4	0.004	5	0.003	6	0.003	7	0.003	8	0.003
7	1	0.011	2	0.007	3	0.003	4	0.002	5	0.003	6	0.005	7	0.006	8	0.013
8	1	0.004	2	0.004	3	0.002	4	0.003	5	0.003	6	0.004	7	0.003	8	0.002
9	1	0.017	2	0.015	3	0.002	4	0.002	5	0.007	6	0.002	7	0.009	8	0.011
10	1	0.002	2	0.002	3	0.003	4	0.003	5	0.005	6	0.004	7	0.003	8	0.002
11	1	0.002	2	0.003	3	0.004	4	0.004	5	0.003	6	0.005	7	0.007	8	0.008
12	1	0.001	2	0.002	3	0.007	4	0.002	5	0.002	6	0.006	7	0.002	8	0.002
13	1	0.004	2	0.004	3	0.003	4	0.005	5	0.005	6	0.007	7	0.003	8	0.001
14	1	0.017	2	0.017	3	0.002	4	0.006	5	0.002	6	0.002	7	0.003	8	0.005
15	1	0.002	2	0.003	3	0.012	4	0.002	5	0.004	6	0.002	7	0.002	8	0.001
16	1	0.002	2	0.103	3	0.106	4	0.116	5	0.134	6	0.039	7	0.217	8	0.012
17	1	0.002	2	0.023	3	0.050	4	0.019	5	0.072	6	0.095	7	0.107	8	0.008
18	1	0.001	2	0.148	3	0.203	4	0.139	5	0.074	6	0.023	7	0.021	8	0.003
19	1	0.001	2	0.007	3	0.012	4	0.006	5	0.005	6	0.003	7	0.002	8	0.003
20	1	0.003	2	0.084	3	0.064	4	0.019	5	0.050	6	0.030	7	0.853	8	0.007
21	1	0.006	2	0.152	3	0.073	4	0.713	5	1.000	6	0.021	7	0.035	8	0.011
22	1	0.008	2	0.009	3	0.005	4	0.005	5	0.009	6	0.007	7	0.005	8	0.005
23	1	0.003	2	0.027	3	0.028	4	0.015	5	0.027	6	0.022	7	0.017	8	0.002
24	1	0.002	2	0.003	3	0.004	4	0.005	5	0.003	6	0.002	7	0.002	8	0.003
25	1	0.012	2	0.005	3	0.004	4	0.003	5	0.004	6	0.002	7	0.002	8	0.002
26	1	0.003	2	0.030	3	0.036	4	0.037	5	0.036	6	0.039	7	0.104	8	0.006
27	1	0.003	2	0.856	3	0.113	4	0.179	5	0.089	6	0.015	7	0.016	8	0.003
28	1	0.001	2	0.007	3	0.005	4	0.007	5	0.004	6	0.002	7	0.002	8	0.002
29	1	0.008	2	0.028	3	0.025	4	0.018	5	0.026	6	0.048	7	0.025	8	0.003
30	1	0.010	2	0.010	3	0.005	4	0.003	5	0.003	6	0.004	7	0.003	8	0.005
31	1	0.002	2	0.005	3	0.004	4	0.004	5	0.004	6	0.003	7	0.002	8	0.002
32	1	0.006	2	0.033	3	0.041	4	0.024	5	0.025	6	0.017	7	0.014	8	0.002
33	1	0.002	2	0.004	3	0.004	4	0.003	5	0.004	6	0.002	7	0.002	8	0.003
34	1	0.006	2	0.006	3	0.006	4	0.005	5	0.004	6	0.002	7	0.002	8	0.002
35	1	0.003	2	0.004	3	0.004	4	0.003	5	0.004	6	0.004	7	0.001	8	0.003
