0.015	0.015	0.024	0.019	0.022	0.025	0.023	0.026
0.014	0.024	0.014	0.026	0.039	0.092	0.055	0.208
0.010	0.015	0.020	0.037	0.026	0.025	0.024	0.020
0.009	0.020	0.014	0.028	0.021	0.028	0.033	0.134
0.008	0.019	0.018	0.095	0.018	0.113	0.015	0.016
0.020	0.020	0.016	0.031	0.024	0.027	0.022	0.022
0.089	0.055	0.027	0.019	0.025	0.042	0.048	0.100
0.033	0.029	0.017	0.022	0.026	0.029	0.021	0.016
0.135	0.116	0.018	0.017	0.051	0.017	0.073	0.090
0.014	0.019	0.020	0.025	0.041	0.032	0.025	0.015
0.017	0.027	0.030	0.033	0.026	0.040	0.056	0.064
0.010	0.019	0.055	0.016	0.016	0.046	0.014	0.013
0.028	0.030	0.024	0.040	0.040	0.052	0.027	0.011
0.130	0.131	0.017	0.048	0.017	0.015	0.023	0.037
0.018	0.022	0.096	0.019	0.034	0.016	0.012	0.010
0.015	0.608	0.598	0.659	0.732	0.292	0.832	0.093
0.017	0.175	0.374	0.150	0.488	0.609	0.588	0.066
0.011	0.675	0.775	0.638	0.464	0.179	0.167	0.024
0.010	0.057	0.092	0.048	0.042	0.020	0.020	0.025
0.022	0.542	0.438	0.152	0.377	0.225	0.890	0.059
0.045	0.808	0.425	0.879	1.000	0.162	0.265	0.091
0.066	0.072	0.042	0.040	0.072	0.059	0.039	0.036
0.022	0.206	0.219	0.119	0.213	0.175	0.135	0.016
0.014	0.026	0.032	0.041	0.027	0.016	0.018	0.027
0.092	0.036	0.030	0.027	0.032	0.014	0.018	0.013
0.027	0.226	0.251	0.257	0.251	0.273	0.522	0.045
0.024	0.965	0.574	0.847	0.512	0.121	0.123	0.025
0.012	0.053	0.039	0.053	0.033	0.019	0.016	0.020
0.060	0.213	0.199	0.139	0.201	0.360	0.188	0.024
0.078	0.078	0.040	0.023	0.022	0.031	0.024	0.042
0.020	0.038	0.032	0.029	0.028	0.024	0.013	0.016
0.051	0.258	0.308	0.185	0.193	0.135	0.112	0.016
0.018	0.028	0.030	0.025	0.032	0.015	0.015	0.020
0.051	0.048	0.046	0.040	0.033	0.012	0.018	0.014
0.024	0.028	0.032	0.022	0.034	0.032	0.012	0.021

