0,00	0,00	-2,60
1,00	0,00	79,30
2,00	0,00	-9,40
3,00	0,00	-77,80
4,00	0,00	90,50
5,00	0,00	-19,30
6,00	0,00	11,90
7,00	0,00	53,50
8,00	0,00	-42,90
9,00	0,00	29,10
0,00	1,00	52,50
1,00	1,00	-30,10
2,00	1,00	-26,10
3,00	1,00	84,90
4,00	1,00	-11,10
5,00	1,00	-73,10
6,00	1,00	24,60
7,00	1,00	-53,30
8,00	1,00	-64,50
9,00	1,00	-15,60
0,00	2,00	-14,70
1,00	2,00	76,50
2,00	2,00	-34,50
3,00	2,00	32,40
4,00	2,00	46,10
5,00	2,00	-43,50
6,00	2,00	15,30
7,00	2,00	-20,60
8,00	2,00	-89,30
9,00	2,00	66,10
0,00	3,00	-67,20
1,00	3,00	71,00
2,00	3,00	65,80
3,00	3,00	-47,44
4,00	3,00	-43,90
5,00	3,00	16,30
6,00	3,00	-55,20
7,00	3,00	14,00
8,00	3,00	-73,00
9,00	3,00	49,70
0,00	4,00	-5,40
1,00	4,00	-3,20
2,00	4,00	36,30
3,00	4,00	-45,50
4,00	4,00	-77,00
5,00	4,00	76,90
6,00	4,00	-18,70
7,00	4,00	-3,20
8,00	4,00	-10,00
9,00	4,00	40,90
0,00	5,00	67,70
1,00	5,00	-40,50
2,00	5,00	-31,20
3,00	5,00	-3,80
4,00	5,00	-84,20
5,00	5,00	48,40
6,00	5,00	33,40
7,00	5,00	-40,20
8,00	5,00	74,40
9,00	5,00	-24,00
0,00	6,00	70,60
1,00	6,00	-29,50
2,00	6,00	-88,10
3,00	6,00	68,60
4,00	6,00	8,10
5,00	6,00	-12,30
6,00	6,00	72,50
7,00	6,00	-25,80
8,00	6,00	85,00
9,00	6,00	-28,70
0,00	7,00	32,60
1,00	7,00	3,70
2,00	7,00	-70,70
3,00	7,00	48,10
4,00	7,00	76,89
5,00	7,00	-29,20
6,00	7,00	60,70
7,00	7,00	-25,00
8,00	7,00	8,30
9,00	7,00	-24,00
0,00	8,00	-44,80
1,00	8,00	51,60
2,00	8,00	-5,20
3,00	8,00	6,10
4,00	8,00	36,90
5,00	8,00	-46,40
6,00	8,00	54,00
7,00	8,00	-26,60
8,00	8,00	24,10
9,00	8,00	-44,40
0,00	9,00	-63,40
1,00	9,00	59,60
2,00	9,00	-15,30
3,00	9,00	-13,80
4,00	9,00	55,80
5,00	9,00	-68,30
6,00	9,00	52,80
7,00	9,00	-45,90
8,00	9,00	-50,30
9,00	9,00	-53,50
