0,00	0,00	-112,70
1,00	0,00	-25,20
2,00	0,00	108,40
3,00	0,00	216,50
4,00	0,00	168,30
5,00	0,00	-140,00
6,00	0,00	-215,11
7,00	0,00	-152,80
8,00	0,00	140,80
9,00	0,00	132,10
0,00	1,00	132,50
1,00	1,00	138,30
2,00	1,00	75,00
3,00	1,00	-51,80
4,00	1,00	-65,30
5,00	1,00	-113,30
6,00	1,00	10,80
7,00	1,00	177,70
8,00	1,00	-59,00
9,00	1,00	-186,90
0,00	2,00	-122,30
1,00	2,00	-168,70
2,00	2,00	-121,10
3,00	2,00	29,40
4,00	2,00	148,40
5,00	2,00	166,30
6,00	2,00	-75,20
7,00	2,00	-158,30
8,00	2,00	-58,40
9,00	2,00	27,50
0,00	3,00	89,67
1,00	3,00	110,80
2,00	3,00	67,00
3,00	3,00	-155,60
4,00	3,00	-288,30
5,00	3,00	-215,50
6,00	3,00	160,70
7,00	3,00	238,80
8,00	3,00	107,60
9,00	3,00	-2,30
0,00	4,00	-132,30
1,00	4,00	-29,60
2,00	4,00	48,60
3,00	4,00	137,00
4,00	4,00	68,10
5,00	4,00	24,10
6,00	4,00	-92,20
7,00	4,00	216,40
8,00	4,00	191,30
9,00	4,00	-104,30
0,00	5,00	100,80
1,00	5,00	-63,10
2,00	5,00	-192,30
3,00	5,00	-230,60
4,00	5,00	20,80
5,00	5,00	247,60
6,00	5,00	130,40
7,00	5,00	-187,20
8,00	5,00	-151,40
9,00	5,00	125,90
0,00	6,00	223,90
1,00	6,00	222,00
2,00	6,00	200,40
3,00	6,00	18,40
4,00	6,00	-214,20
5,00	6,00	-144,00
6,00	6,00	55,20
7,00	6,00	134,40
8,00	6,00	-46,70
9,00	6,00	33,40
0,00	7,00	-188,10
1,00	7,00	-211,20
2,00	7,00	-29,30
3,00	7,00	153,40
4,00	7,00	102,70
5,00	7,00	-180,70
6,00	7,00	-194,30
7,00	7,00	124,90
8,00	7,00	186,70
9,00	7,00	-116,10
0,00	8,00	-128,90
1,00	8,00	-125,60
2,00	8,00	-143,90
3,00	8,00	-96,30
4,00	8,00	9,50
5,00	8,00	150,70
6,00	8,00	-8,30
7,00	8,00	-156,70
8,00	8,00	74,70
9,00	8,00	37,60
0,00	9,00	147,80
1,00	9,00	203,50
2,00	9,00	-75,00
3,00	9,00	-221,50
4,00	9,00	-157,20
5,00	9,00	125,10
6,00	9,00	145,50
7,00	9,00	-110,30
8,00	9,00	-179,30
9,00	9,00	196,60
