10;10;1;16;4;0
-30,8;3,1;-2,6;-39,3;-117,3;32,9;-112,7;-93,4;0;6;14;4;8;0;12;10;-26382;-31123,4;-23016,3;-32009,7;21260;24694,9;31102,9;24762,1;
-37,3;-16,4;79,3;-8,4;-32,7;-48,6;-25,2;-70,7;7,4;6;0;14;4;6;10;4;-26021,3;-31131,4;-23031,7;-32042,5;21468;24983,7;30482,2;24854,3;
-51,6;-28,5;-9,4;39,5;124;-28,4;108,4;-44,5;12;8;14;6;8;2;8;4;-25994,5;-31116,7;-23204,3;-32038,9;21825,7;24926,5;30056,5;24539,4;
18,8;-13,9;-77,8;-19,8;88,4;51,2;216,5;-31,3;4;3,8;10;10;0;8,8;7,4;12;-26230,2;-31114,6;-23422;-32006,2;21772,6;24972;30632;24318,6;
5,4;21,3;90,5;-15,9;-153,1;28,3;168,3;62,7;8;0;0;16;8;4;6;12;-26174,2;-31436,3;-23193,9;-32075,9;21888,9;24875,4;31044,3;24614,4;
-8,7;22,5;-19,3;33,8;36,9;-57,2;-140;50,2;8;0,2;12;7,6;8;1,4;8;6;-26319,1;-31503,1;-23413,8;-32072,9;22051,6;25337,9;30550,1;24606,7;
-23,1;1;11,9;-31,9;178,7;44,1;-215,111111111111;2;0;2;11,8;6;0;12,2;0;12;-26580,1;-31466,3;-23302,3;-31928,9;22557;25324,7;30473,6666666667;24530,2222222222;
29;-23;53,5;16,6;-189,5;13,6;-152,8;-5,2;8,2;6,4;8;6;8;8;0;10;-25783,9;-31316,8;-23151,7;-32158,3;21082,7;24598,2;32452,7;24936,3;
40,8;3,7;-42,9;-4,3;82,6;-61,7;140,8;-12,6;0;6;0;6;10;0;0;8;-25751,5;-31349,6;-23446,6;-31973,9;20585,9;24959,1;31615;25397,9;
-48;-11,4;29,1;-10,4;144,9;51,1;132,1;89,6;4,2;8;0;6;0;12;12;10;-25888,1;-31342,1;-23217;-31930,2;20587;25037,8;31223,3;25131,5;
8,1;-36,9;52,5;12,2;35,1;-60,1;132,5;-15,9;14;2;6,2;8;10;1,8;3,6;6;-26727,9;-31023,7;-22150,3;-31779;22468,6;25639;29417,1;24134,2;
36,2;-12,3;-30,1;32,4;79,5;58;138,3;-19,3;2;7,4;10,6;9,4;4;10;3,6;8;-26708,8;-31154,4;-23061,1;-31810;21661,3;25663,3;30869,3;24420,4;
-10,6;24;-26,1;-24,9;-117,8;64,2;75;35,3;10;2;10;0;12;0;2;6;-26746;-31256,4;-22648,3;-31765,1;21096,7;25563,7;30611,9;24375,1;
4,4;35,2;84,9;-6,4;-82,9;-33,2;-51,8;53,4;12;0;0;14;0;8;8;0;-26751,6;-31363,1;-22496,4;-31900,8;21424,3;25491,7;30077,3;24498,3;
-38,8;19,3;-11,1;21,4;175,1;-16,8;-65,3;59,3;6;8;8;4;8;8;10;0;-26598,6;-31411,2;-22630,8;-31897,8;21808,6;25371,2;29753,4;24612,3;
-55;-29,1;-73,1;-9,7;92,1;36,4;-113,3;36,2;12;8;6;10;0;8;6;4,8;-26740,9;-31355,1;-22615,3;-31821;21705,9;25302,2;29546,8;24655,8;
41,1;-41,1;24,6;-21,6;-54,7;-48,6;10,8;-74,6;14;10;6;6;4;7,4;10;0;-26657,6;-31275,5;-22389,9;-31852,4;21619,6;25375;29744,8;24480,6;
53,7;29,9;-53,3;30,1;72,6;-63,5;177,7;-47,6;12;7,8;8;12;10;0;9,2;8;-27068,1;-31432,4;-22446,7;-31950,3;21600,7;25537,3;29283;24678,2;
-59,8;31,6;-64,5;-12,9;3,8;25,7;-59;26,8;12;12,4;8;10;0;0;2;2;-26851,5;-30753,4;-22823,6;-31700,1;23180;25248;32698,5;24709,6;
10,9;-23,1;-15,6;18,6;-33,8;-23,9;-186,9;-29,1;8;2;6;4;0;3,8;0;12;-26841,8;-31221,6;-22662,9;-31804,7;20514,2;26013,2;32758,5;25652,2;
-69,6;6,7;-14,7;-32,3;-32,3;98,7;-122,3;8,8;0;13,6;12;0;13;8;0;8;-26512,3;-30943,2;-22522,3;-31783,2;22307,2;24986,7;32423,5;24485,1;
-48;-9;76,5;5,1;-118,7;4,3;-168,7;5,5;4,8;8;2,6;12;4;6;0;10;-26281,1;-31014,3;-23095,5;-31850,4;21633,7;25387,5;32362,5;24644,6;
4,2;-13,9;-34,5;5,8;129;1,1;-121,1;-32,4;4,8;0;0;6;4;7,4;2;8;-26231,6;-31085,2;-22822,6;-31784,5;21330;25458,2;32209,8;24777,5;
46,9;-9,2;32,4;-21,1;52;46,3;29,4;-58,1;0;10;7,2;8;2;6,6;8;0;-26180,1;-31127,7;-23090,9;-31920,6;21838,6;25212,9;31832,1;24812,3;
49,9;14,3;46,1;-4,9;-104;-41,5;148,4;-50,3;6;8;0;8;0;10;8;8;-26455,8;-31080,2;-23403,3;-31892,2;22102;25275,1;31992,4;24668,3;
-61;8,2;-43,5;0,4;41,5;-73;166,3;19;0;12;0;6,4;10,2;3;0;10;-26716,8;-30970,8;-23243,5;-31834,1;22385,9;25530,4;32307,1;24755,5;
-14,1;-29,3;15,3;-18,8;20,4;31,9;-75,2;52,7;12;0;6;4;1,8;2,6;8;2;-26445,8;-30802,2;-23261,3;-31660,6;22293,8;25474,1;32559,3;24962,3;
76,1;-9,6;-20,6;34;-158,8;13,7;-158,3;23,6;0;14;12;8;8;8;4;10;-26376,5;-30880,1;-23429,7;-31719,7;22158,3;25400,6;32330,4;25081,5;
47,2;22,8;-89,3;14,2;-95,9;-17,2;-58,4;-14;10;8;0;16;0;6;0;2;-26411;-30870,5;-23451,5;-31735,4;22368,1;25212;31415,6;25041,5;
-65,1;12,6;66,1;9,2;17,7;39,1;27,5;60,8;3,8;12;5,4;10;4;4;8;2;-27082,2;-30967,8;-23722,3;-31765,6;22862;25780,7;31459,9;25272,7;
-25,8;33,2;-67,2;-15,8;203,5;13,5;89,6666666666667;22,2222222222222;13,4;6;8;10;4;12;0;6;-26706,9;-31267,5;-23232,7;-31743,4;23056,4;25462,8;31228,6666666667;25452,4444444444;
-40,1;31,2;71;-27,3;90,3;60,2;110,8;73,9;12;9,6;8;15,2;4;10;10;10;-26691,1;-31257,8;-23093,6;-31631,8;22350,1;25272,6;31488,5;25334,5;
-73,6;10,7;65,8;11,5;-149,8;-32,4;67;92;0;14;7,2;10;0;10;12;6;-26468,5;-31181,4;-23199,4;-31617,4;21667,9;25208,5;31471,1;24768,7;
-75,7;-12,6;-47,4444444444444;12,1111111111111;18,8;-75,3;-155,6;54,6;6;12;0;9,11111111111111;10;5,8;10;8;-26103,2;-31104,4;-23039,1111111111;-31563,3333333333;22291,5;25315,2;31501,9;24505,6;
45,3;-9,1;-43,9;-7,1;26,3;57,3;-288,3;-5,4;1,2;9,8;2,6;6;6;6;0;16;-25863,7;-31155,5;-22887,3;-31600,6;22807,2;25139,9;31614,5;24748,2;
41,4;32,6;16,3;8,5;-143,3;65,9;-215,5;-44,6;14;5;2;0;12,4;0;2;14;-26367,7;-31020;-23311,8;-31557,9;21983,1;25320,2;30997,7;24829,4;
-24,6;27,1;-55,2;-2,3;-68,9;-18,2;160,7;-18,5;10;6;0;10;0;4;2;10;-26527,6;-31033,5;-23421,6;-31514,3;21711,1;25587,9;31469,4;24825,6;
-3,3;-18,1;14;14,4;58,8;40,7;238,8;55,8;8;0;4,8;0;0;7;4;14,6;-26585,9;-31067,4;-23343,8;-31553,1;21541,9;25730,1;31674,5;24776,2;
42,9;-19,4;-73;2,22222222222222;-20;17,5;107,6;16,1;8;8;0;12;0;0;0;7,2;-26340,3;-31094,7;-23484,8888888889;-31579,3333333333;21709,5;25797,5;31856,7;24934,6;
16,4;12,2;49,7;-15,2;75,7;-24,4;-2,3;-34,7;4;0;2;10;6;0;4;0;-27064,7;-31085,6;-23094;-31960;19856,3;25708;31661,2;25614;
66,9;-1,4;-5,4;13,4;-136,1;17,3;-132,3;-14,4;0;12;6;0;8;4,4;0;10;-26138,4;-31403,6;-22948,9;-31920,2;22525,6;25384,7;31595,7;25179,2;
59,2;2,4;-3,2;-19,6;-22,6;-64,1;-29,6;-67,4;0;10;8;0;8;8;10;4;-26467,8;-31284,4;-23710,4;-31509;22856,5;25208,3;31664,5;25366;
-12,9;25,5;36,3;-9,9;86,2;36,5;48,6;-75,9;10;2;0;8;0;8;12;0;-26510,2;-31282,4;-23364,3;-31458,4;23029,3;24938,7;31995,7;25279,8;
-78,3;18,9;-45,5;15,2;-97,6;35,2;137;-25,9;7,4;14;2;10;8;0;4;8;-26475,7;-31148,2;-23201,9;-31506,4;22751;25167,8;32633;25023,7;
-28,3;-18,8;-77;-17,5;55,9;-20,1;68,1;99,4;8;4;10;12;3,4;0;14;6,6;-26344;-31050;-23133,2;-31424,2;22779,7;25343,6;32511,4;24839,2;
76,1;-3,5;76,9;-7,5;152,1;15,9;24,1;122,2;0;14;0;14;0;10;16;4;-26162,8;-31117,8;-22917,1;-31678,7;23040,7;25320,1;31667,4;24235,3;
65,3;19,2;-18,7;38,6;-27,1;29,3;-92,2;-31,3;8;10;14;8;4;0;0;6;-26242,1;-31224,8;-23392,9;-31641,1;22703;25392,3;31619,9;24613,7;
-47,3;6,8;-3,2;-13,8;83,5;-49,4;216,4;-74,5;0;8,4;4,8;0;10;0;12;10;-26318,2;-31197,1;-23199,7;-31558,3;22735,9;25442,3;31903,7;24605,3;
-42,6;-36,5;-10;23,4;110,4;-7,9;191,3;-53,3;14,4;5,2;8;3,8;4;4;10;10;-26098,4;-31111,3;-23437,5;-31706,3;22397,9;25349;31500,2;24523;
51,1;-15,8;40,9;-16,1;-63,9;-29,4;-104,3;-9,4;6;10;4;8;0;6;0;6;-25977,8;-31269,3;-23312,7;-31686,7;22501;25391;31060,6;24442,6;
1,6;-34,4;67,7;-15,6;229,8;56,3;100,8;96,1;14;0;2;14;0;16;12;10;-26007,5;-31274,2;-22578,7;-31835,2;21860,9;24839,1;30778,2;24566,6;
-8,3;-32,8;-40,5;15,9;-129,8;54,8;-63,1;89,3;12;0;2,2;8;12;0;14;0;-25833,5;-31260,4;-23148,2;-31774,1;22545,8;25207,2;31024,8;24738,4;
44,6;0,5;-31,2;-14,4;-25,8;-52,3;-192,3;72,8;0;8;7,8;2;6;6;14;10;-25937,4;-31216,4;-23229,5;-31646,1;23189,2;25386,4;31117,6;25143,3;
-10,1;29,2;-3,8;20,2;194,9;-8,3;-230,6;19;12;2;8;0;8;10;6;14;-26354,4;-31114,3;-23343,4;-31594,6;23794,2;25094;31361;25523,6;
-52,5;8,7;-84,2;7,3;-28,8;35,7;20,8;-81;0;10;0;14,2;4;0;12;0;-26351,9;-31038,6;-23581,6;-31484,3;23341,9;24939,9;32080,7;25526,9;
7,77777777777778;-24,2222222222222;48,4;-22,1;-19,2;-77,7;247,6;-38,5;10;0;6;10;10;8;8;14;-26205;-31072,6666666667;-23205,4;-31449,3;23363,2;25046,6;32448,5;25261,6;
60,7;-13;33,4;36,5;135,1;-20,5;130,4;45,4;4;12;16;0;8;4;4;10;-26470,4;-31101,6;-23458,9;-31405,3;21903,7;25181,1;31437,1;24888,5;
30,6;17,8;-40,2;-15,5;-164;-0,6;-187,2;15,5;8;4;8;5,6;6;8;4;10;-26443,2;-31039,2;-23402,4;-31331,7;22048;25230,5;31382,4;24883,3;
-84,2;-7,3;74,4;13,9;-6;-71,8;-151,4;-63,6;2,2;14;8;10;8,8;6;6,4;12;-26476,8;-30926,9;-23269,4;-31460,2;22450,4;25291,4;31241,4;25016,5;
-1,9;-28;-24;-7;-69,9;37,7;125,9;9,6;12;0;1,4;2;8;0;0;8;-26337,2;-30980,8;-23488,5;-31489,4;21936,3;25244,4;31525,2;24591,9;
-12,9;-24,2;70,6;-7,7;96,7;-52,7;223,9;-26,9;10;0;0;12;10,2;0;6;12;-26269,9;-31366,9;-22942,2;-31734,9;21170,3;25595,9;30643,9;24739;
-58,4;-21,4;-29,5;40,3;234,9;1;222;-25,6;8,8;9,2;13,4;10;8;12;6;12;-25923;-31382,7;-23052,8;-32009;22157,8;25521,9;30877,6;24796,8;
4,6;-24,5;-88,1;0,3;83,6;61,1;200,4;62,1;10;0;0,6;14;4;10;6;14;-26069,8;-31286,3;-23478,1;-31894,4;22680,2;25490,8;30856;25081,9;
73;10,7;68,6;-7,2;-93,2;-52,5;18,4;107,7;4;12;0;12;2;10;16;5,8;-26081;-31201;-23393,8;-31906,5;22845,9;25525,5;30644,4;25283,9;
-0,6;29,8;8,1;37,7;157,4;-22,8;-214,2;-2;12;0;14;0,2;8;6;2;14;-26299;-31032,6;-23745,5;-31857,8;23023,5;25103,5;30718;25629,6;
-62,6;-4,4;-12,3;-15,1;-172,4;17,6;-144;-74;0,6;10;6;0;8;8;10;12;-26143,5;-31030,9;-23837,2;-31718,7;22999,7;25074,6;31460,7;25596;
-0,6;-28;72,5;15,3;-58,7;-71,9;55,2;-63,6;10;0;8,6;10;8;10;10;0;-26026,2;-31165,2;-23727,7;-31724,3;23030,3;25161;31962,7;25538;
38,3;7,4;-25,8;-6;-79,3;56;134,4;57,3;0,2;6;1;2;10;0;6,8;10;-26498;-31171,6;-23720,4;-31523,2;21884,6;25023,6;31982,8;25587,8;
-36,4;27,9;85;-6,8;-213,5;-31,8;-46,7;107,3;10;8;0;14;4;14;16;0;-26551,1;-31108,2;-23496;-31471,2;20941,7;25355,9;31320,2;25534,6;
3,4;-14,5;-28,7;2,9;115,3;30,3;33,4;-58,3;4;0;0;4;0;8;9,6;0;-26114,4;-31086,1;-23819,4;-31534,8;21727,2;25230,5;32108,2;25453,5;
-35,1;0,3;32,6;-11,4;-80,2;84,5;-188,1;-52,9;0;6;2;6;14;4;4;12,6;-26881,7;-31198,2;-23656,9;-31661,8;20461,6;25241,6;31054,8;25168,2;
-50,4;1,1;3,7;28,2;-104,5;-83,2;-211,2;-49,2;0;9;10;1,6;6,2;13;1,8;14,4;-26793,3;-31101,2;-23344,3;-31669,3;21916;25504,3;30132,1;25222;
-17,1;-27,8;-70,7;15,5;255,6;-70,8;-29,3;-96,9;12;0;0;14;17,2;8;14;6;-26552,1;-31107,5;-23122,8;-31567,7;22665,9;25323,7;30700,5;25211,9;
67,6;-21,8;48,1;-18;-19,9;47,2;153,4;-39,6;7;12,2;4;10;6,4;2,4;8;8;-26228,4;-31190,1;-22596;-31720,6;21550,8;25776,2;30263,3;24759,3;
45,4285714285714;4,85714285714286;76,8888888888889;9,11111111111111;-142,1;-37,6;102,7;20,4;0;8;7,77777777777778;11,3333333333333;0;12;0;6;-26323,2857142857;-31092,7142857143;-22737,7777777778;-31833,7777777778;21838,4;25898,2;30287,9;24838,8;
-35,4;-8;-29,2;-14,3;76,1;35,7;-180,7;26,8;1,2;6;6;0;0;8;8;10;-26468,6;-31331,7;-23254,3;-31814,3;22953,5;25890,8;29517;25495,1;
-15,8;-15,4;60,7;-13,7;-163;10,6;-194,3;0,5;6;0;0;12;8;8;2;12;-26600,7;-31305,3;-23303,4;-31774,3;23122,5;25830,9;29299,6;25515,4;
41,6;1,3;-25;1,9;107,3;-5;124,9;-46,1;0;8;0;2;4;6;10;4;-26557,5;-31079,1;-23551,6;-31772,2;24249,3;26323,9;28466,6;25604,9;
25,3;30;8,3;-25,3;-132,7;58;186,7;73,6;12;1,2;8;3,8;12;0;6;14;-27375,1;-30937;-22908,5;-32055,2;22746,9;25939,5;29326,1;24779,5;
-45,1;-2,6;-24;1,1;96,4;-24,6;-116,1;40,1;0;8;0;3,8;6;1,4;8;4;-27380,9;-31116,7;-23033,3;-31653;23688,7;25199,1;28692,7;24573,6;
-15,8;15,1;-44,8;-13,1;280,3;-13,7;-128,9;43,2;5;2;7,6;6;12;14;8;6;-26823,5;-31439;-22796,5;-31624,1;21695,8;25311,1;29970,5;24721,4;
-35,3;11,8;51,6;6,3;-74,3;48,7;-125,6;67,8;2;6,8;2,6;8;10;0;12;4;-26460;-31479;-22354,2;-31859,5;21377,1;25934,2;29359,6;24973,2;
-10;-18;-5,2;18;-63,7;-100,4;-143,9;-29,2;7,4;0;6;1;12;14;0;10;-26449;-31331,2;-22381,2;-31748,2;21666,4;26306,6;30021,7;25127,4;
32,3;-24,6;6,1;-17,4;169,3;17,2;-96,3;-82,7;8;6;6;2;2;12;10;10;-26899,3;-31321,4;-22893,2;-31211,8;22727,6;26042,3;30889,2;25067,6;
30,7;1,6;36,9;13,8;-251,3;21,1;9,5;-52,4;0;4;8;4;12;12;8;0;-26679,6;-31246,8;-22525,9;-31441;22515,4;26022,5;31186,6;25181,9;
-22,5;7,8;-46,4;-4,4;46,1;-51,1;150,7;15;0;4;0,8;8;8;0;0;11,4;-26516,5;-31334,3;-23133;-31900,7;23418,8;25156,3;29652;26463,3;
-33,9;-18,1;54;3,2;-107,9;64,3;-8,3;85,1;8;5,2;0,4;8;12;0;12;2;-26825,5;-31207,3;-23344,9;-31977,4;23879,9;25672,9;30527;25564,6;
15,9;-19,7;-26,6;22,6;-73,3;-51,9;-156,7;37,7;8;2;8;8;4;9,8;8;8;-26833,6;-31302,2;-23528,1;-31886,2;23765;25919,7;30873,1;25756,1;
33,6;19,8;24,1;-18,5;11,9;64,8;74,7;-67,4;8;4,2;6;6;8;5,2;10;0;-27303,6;-31084,3;-22502,3;-31794,3;22531;24656,1;31089,9;25003,6;
-36,3;-9,6;-44,4;1,8;-93,6;-25;37,6;28,7;2,6;6,2;0;8;0;6;2;2;-26979,1;-30927,3;-22544,4;-31723,3;23093;24989,6;31912,6;25212;
-11,5;16,7;-63,4;-15,4;19,3;-117,1;147,8;15,6;8;0,6;8;8,2;16;10;0;10;-26471,6;-31214,7;-22652,4;-31516,4;22807,9;26223,4;30875,3;24936,6;
6,8;22,4;59,6;-9,5;152;5,1;203,5;4,4;9,4;0;0;10;4;10;0;12;-26653;-31163,3;-22701,2;-31626,2;22879,6;25880,5;31388,7;25253,1;
-13;-13,3;-15,3;17,1;-255,7;-47,4;-75;-4;6;0;6;4;0;18;0;4;-27116,3;-31212,5;-23754,4;-31362,9;22205,9;26393;29971,1;25196,6;
