6;6;6;6;
6;6;7;6;
7;6;7;6;
7;7;7;6;
7;7;8;6;
7;7;8;6;
7;7;8;6;
8;8;8;6;
8;8;9;7;
8;9;9;7;
6;5;6;5;
6;7;6;5;
7;7;7;5;
6;7;7;6;
7;8;7;6;
7;8;7;6;
7;8;8;6;
7;9;8;6;
8;9;8;7;
8;10;8;7;
6;5;6;5;
6;5;6;5;
6;6;6;5;
6;6;6;5;
6;6;7;5;
7;7;7;5;
7;7;7;6;
7;8;8;6;
7;8;8;6;
8;8;8;6;
6;5;5;4;
6;5;5;4;
6;5;6;4;
6;6;6;5;
6;6;6;5;
6;6;7;5;
7;7;7;5;
7;7;7;5;
7;8;8;5;
7;9;8;6;
5;5;5;4;
5;6;5;4;
6;6;5;4;
6;7;6;4;
6;7;6;4;
6;7;6;4;
6;8;7;5;
7;8;7;5;
7;9;7;5;
7;9;8;6;
5;5;4;3;
5;6;5;4;
5;6;5;4;
6;6;5;4;
6;7;6;4;
6;7;6;4;
6;7;6;4;
6;8;7;5;
7;8;7;5;
7;9;8;5;
5;4;4;3;
5;5;4;3;
5;5;4;3;
5;5;5;3;
6;5;5;4;
6;6;6;4;
6;6;6;4;
6;7;7;4;
7;7;7;5;
7;8;7;5;
5;5;3;3;
5;6;4;3;
5;6;4;3;
5;6;5;3;
5;6;5;3;
6;6;5;4;
6;6;6;4;
6;7;6;4;
6;7;7;4;
7;9;7;5;
5;5;3;3;
5;5;4;3;
5;6;4;3;
5;6;4;3;
5;6;5;3;
6;7;5;3;
6;7;6;4;
6;8;6;4;
6;8;6;4;
7;9;7;4;
5;5;3;2;
4;5;3;2;
5;6;4;3;
5;6;4;3;
5;6;5;3;
5;7;5;3;
6;7;5;3;
6;8;6;4;
6;8;6;4;
7;9;7;4;
