1	4.137
2	3.696
3	2.654
4	2.378
5	2.222
6	5.380
7	24.281
8	8.808
9	37.100
10	3.657
11	4.497
12	2.709
13	7.641
14	35.570
15	4.860
16	4.112
17	4.659
18	3.089
19	2.576
20	6.055
21	12.136
22	18.021
23	5.882
24	3.881
25	24.849
26	7.365
27	6.583
28	3.165
29	16.234
30	21.391
31	5.313
32	13.908
33	4.725
34	13.813
35	6.423
36	4.047
37	6.556
38	4.032
39	5.317
40	5.175
41	5.321
42	14.925
43	7.888
44	31.544
45	5.171
46	7.168
47	5.021
48	8.018
49	35.844
50	6.026
51	222.325
52	49.449
53	317.802
54	15.482
55	180.394
56	326.122
57	19.373
58	57.193
59	7.086
60	9.722
61	63.728
62	1839.190
63	14.280
64	59.462
65	21.170
66	10.137
67	71.938
68	7.523
69	13.005
70	7.647
71	6.545
72	3.803
73	5.345
74	3.903
75	4.827
76	4.224
77	7.309
78	4.664
79	4.801
80	5.470
81	8.084
82	15.029
83	6.391
84	4.710
85	26.012
86	227.707
87	107.487
88	435.331
89	24.931
90	137.033
91	157.720
92	11.236
93	60.631
94	8.727
95	8.177
96	77.583
97	243.439
98	10.518
99	54.799
100	10.939
101	8.607
102	88.263
103	8.113
104	12.300
105	8.569
106	5.223
107	6.895
108	9.937
109	7.559
110	26.099
111	8.253
112	5.144
113	5.812
114	4.714
115	6.829
116	8.999
117	4.292
118	10.814
119	13.161
120	5.121
121	250.152
122	41.479
123	298.228
124	13.015
125	41.828
126	1531.921
127	10.783
128	32.638
129	10.964
130	7.206
131	79.914
132	384.188
133	14.310
134	38.193
135	6.264
136	7.930
137	50.897
138	6.757
139	10.928
140	5.952
141	5.924
142	10.502
143	7.026
144	5.629
145	4.901
146	6.595
147	6.715
148	7.040
149	14.089
150	10.969
151	6.969
152	4.447
153	10.912
154	4.586
155	9.313
156	286.929
157	155.612
158	159.286
159	11.339
160	107.540
161	2149.168
162	19.571
163	58.859
164	7.333
165	8.503
166	77.785
167	190.435
168	8.988
169	56.386
170	5.966
171	7.578
172	53.027
173	8.747
174	8.826
175	9.104
176	6.746
177	25.009
178	6.763
179	7.648
180	30.733
181	7.397
182	11.432
183	7.707
184	4.638
185	8.690
186	10.839
187	12.611
188	14.023
189	4.052
190	4.370
191	83.461
192	204.783
193	49.248
194	5.387
195	63.945
196	45.152
197	15.912
198	48.309
199	4.233
200	3.743
201	84.873
202	33.069
203	5.155
204	103.430
205	8.503
206	6.392
207	36.850
208	4.163
209	3.341
210	8.765
211	6.296
212	14.957
213	6.431
214	8.849
215	3.924
216	6.038
217	12.875
218	5.789
219	19.829
220	6.768
221	15.003
222	3.737
223	7.236
224	6.326
225	3.312
226	466.830
227	230.683
228	46.089
229	5.267
230	1832.268
231	74.307
232	10.596
233	36.896
234	4.852
235	4.851
236	223.544
237	33.712
238	4.221
239	52.914
240	6.565
241	3.456
242	30.689
243	4.032
244	4.924
245	3.193
246	7.006
247	57.301
248	5.421
249	36.492
250	4.284
251	5.845
252	27.265
253	4.365
254	24.489
255	4.155
256	17.378
257	3.519
258	2.925
259	10.030
260	2.637
261	25.250
262	17.867
263	6.354
264	6.761
265	15.979
266	24.623
267	9.687
268	4.364
269	7.157
270	3.427
271	12.100
272	6.720
273	5.316
274	6.572
275	11.385
276	4.194
277	4.430
278	5.470
279	3.688
280	5.759
